,spores,techs,locs,carriers,unit,flow_out_sum
718,2,wind_offshore,PRT_7_1,electricity,twh,0.0009716137260292
719,2,wind_offshore,PRT_9_1,electricity,twh,0.0011787839682897
720,2,wind_onshore,PRT_10_1,electricity,twh,0.0091524530228352
721,2,wind_onshore,PRT_11_1,electricity,twh,11.05409343820331
722,2,wind_onshore,PRT_12_1,electricity,twh,7.260556201845303
723,2,wind_onshore,PRT_14_1,electricity,twh,0.0095366209438802
724,2,wind_onshore,PRT_15_1,electricity,twh,0.0047987528295046
725,2,wind_onshore,PRT_16_1,electricity,twh,0.0103458756692184
726,2,wind_onshore,PRT_17_1,electricity,twh,0.0096785968477903
727,2,wind_onshore,PRT_18_1,electricity,twh,0.0069234372009159
728,2,wind_onshore,PRT_19_1,electricity,twh,0.0029854059978959
