scenarios,locs,techs,carriers,units,flow_out_sum
0,PRT_1,heat_storage_big,heat,unit,32750.678916528697
0,PRT_2,heat_storage_big,heat,unit,35057.07213752563
0,PRT_1,heat_storage_small,heat,unit,1836552.0507097668
0,PRT_2,heat_storage_small,heat,unit,1775887.6288204
0,PRT_1,hydro_reservoir,electricity,kilowatt hour,2157392847.8847084
0,PRT_2,hydro_reservoir,electricity,kilowatt hour,393940793.2945773
0,PRT_1,hydro_run_of_river,electricity,kilowatt hour,2519490705.965859
0,PRT_2,hydro_run_of_river,electricity,kilowatt hour,376776210.3658962
0,PRT_1,methane_boiler,heat,megajoule,786299.50749636
0,PRT_2,methane_boiler,heat,megajoule,466480.98137376
0,PRT_1,methane_storage,methane,unit,2892.6771440010743
0,PRT_2,methane_storage,methane,unit,2930.7961289037003
0,PRT_10_1,open_field_pv,electricity,kilowatt hour,2936909.2732455
0,PRT_11_1,open_field_pv,electricity,kilowatt hour,17373978537.152752
0,PRT_12_1,open_field_pv,electricity,kilowatt hour,627144.3868033
0,PRT_14_1,open_field_pv,electricity,kilowatt hour,730258.4761483
0,PRT_15_1,open_field_pv,electricity,kilowatt hour,1426362.9834651998
0,PRT_16_1,open_field_pv,electricity,kilowatt hour,608558.261974
0,PRT_17_1,open_field_pv,electricity,kilowatt hour,812692.2832661
0,PRT_18_1,open_field_pv,electricity,kilowatt hour,395797.73686289997
0,PRT_19_1,open_field_pv,electricity,kilowatt hour,996103.6418456
0,PRT_20_1,open_field_pv,electricity,kilowatt hour,1247732.9906156
0,PRT_3_1,open_field_pv,electricity,kilowatt hour,1249172.3934173
0,PRT_4_1,open_field_pv,electricity,kilowatt hour,457780.253125
0,PRT_5_1,open_field_pv,electricity,kilowatt hour,1601143.5772974999
0,PRT_6_1,open_field_pv,electricity,kilowatt hour,40966621875.08712
0,PRT_7_1,open_field_pv,electricity,kilowatt hour,1569367.276178
0,PRT_8_1,open_field_pv,electricity,kilowatt hour,858192.9821142
0,PRT_9_1,open_field_pv,electricity,kilowatt hour,39447363285.14897
0,PRT_1,pumped_hydro,electricity,kilowatt hour,7851489989.176382
0,PRT_2,pumped_hydro,electricity,kilowatt hour,1308997113.3567877
0,PRT_10_1,roof_mounted_pv,electricity,kilowatt hour,42594.165577476095
0,PRT_11_1,roof_mounted_pv,electricity,kilowatt hour,43610.485762159195
0,PRT_12_1,roof_mounted_pv,electricity,kilowatt hour,45133.034279152125
0,PRT_14_1,roof_mounted_pv,electricity,kilowatt hour,33507.21774022264
0,PRT_15_1,roof_mounted_pv,electricity,kilowatt hour,48664.724625864175
0,PRT_16_1,roof_mounted_pv,electricity,kilowatt hour,37939.388346501044
0,PRT_17_1,roof_mounted_pv,electricity,kilowatt hour,40575.02142381442
0,PRT_18_1,roof_mounted_pv,electricity,kilowatt hour,37299.368507021616
0,PRT_19_1,roof_mounted_pv,electricity,kilowatt hour,44258.58026087061
0,PRT_1_1,roof_mounted_pv,electricity,kilowatt hour,2.984611966504546
0,PRT_20_1,roof_mounted_pv,electricity,kilowatt hour,40624.03310730279
0,PRT_3_1,roof_mounted_pv,electricity,kilowatt hour,43625.33612630097
0,PRT_4_1,roof_mounted_pv,electricity,kilowatt hour,41138.349944589696
0,PRT_5_1,roof_mounted_pv,electricity,kilowatt hour,46627.77117493041
0,PRT_6_1,roof_mounted_pv,electricity,kilowatt hour,38672.3974414381
0,PRT_7_1,roof_mounted_pv,electricity,kilowatt hour,41920.972133481075
0,PRT_8_1,roof_mounted_pv,electricity,kilowatt hour,42552.779034220745
0,PRT_9_1,roof_mounted_pv,electricity,kilowatt hour,44403.53070887512
0,PRT_1,waste_supply,waste,kilowatt hour,1028180248.0947118
0,PRT_2,waste_supply,waste,kilowatt hour,1006265969.7225946
0,PRT_11_1,wind_offshore,electricity,kilowatt hour,88225.07017230029
0,PRT_12_1,wind_offshore,electricity,kilowatt hour,103115.0804588
