scenarios,locs,techs,carriers,units,flow_out_sum
129,PRT_2,chp_hydrogen,electricity,kilowatt hour,1683901.4718397
129,PRT_1,chp_methane_extraction,electricity,kilowatt hour,3822320.3285548
129,PRT_2,chp_methane_extraction,electricity,kilowatt hour,2253961.3768163
129,PRT_1,chp_wte_back_pressure,electricity,kilowatt hour,247088821.7988297
129,PRT_2,chp_wte_back_pressure,electricity,kilowatt hour,244390583.4414776
129,ESP,el_import,electricity,kilowatt hour,8150275216.397791
129,PRT_1,electrolysis,hydrogen,kg,4557496195.2430725
129,PRT_2,electrolysis,hydrogen,kg,2782034899.5929604
129,PRT_1,existing_pv,electricity,kilowatt hour,1478423216.3307407
129,PRT_1,existing_wind,electricity,kilowatt hour,15778148355.68561
129,PRT_1,heat_storage_big,heat,unit,13920598.81175623
129,PRT_2,heat_storage_big,heat,unit,29725595.80971329
129,PRT_1,heat_storage_small,heat,unit,561777175.1086922
129,PRT_2,heat_storage_small,heat,unit,594756457.0946862
129,PRT_1,hydro_reservoir,electricity,kilowatt hour,2097754897.761161
129,PRT_2,hydro_reservoir,electricity,kilowatt hour,377840844.4030474
129,PRT_1,hydro_run_of_river,electricity,kilowatt hour,2400466397.2705564
129,PRT_2,hydro_run_of_river,electricity,kilowatt hour,335529725.68988323
129,PRT_1,methane_boiler,heat,megajoule,10741534.4444076
129,PRT_2,methane_boiler,heat,megajoule,4394197.688316479
129,PRT_1,methane_storage,methane,unit,2877.6209355274036
129,PRT_2,methane_storage,methane,unit,2870.4811716625654
129,PRT_1,open_field_pv,electricity,kilowatt hour,77375023484.69817
129,PRT_1,pumped_hydro,electricity,kilowatt hour,6585147848.244025
129,PRT_2,pumped_hydro,electricity,kilowatt hour,1126045720.5391302
129,PRT_1,roof_mounted_pv,electricity,kilowatt hour,873457556.371807
129,PRT_1,waste_supply,waste,kilowatt hour,1029441219.6630629
129,PRT_2,waste_supply,waste,kilowatt hour,1007526941.2909458
129,PRT_1,wind_offshore,electricity,kilowatt hour,857638066.8775035
129,PRT_1,wind_onshore,electricity,kilowatt hour,48080929887.8091
130,PRT_1,battery,electricity,kilogram,19709315407.16549
130,PRT_2,battery,electricity,kilogram,31432965188.610924
130,PRT_1,biofuel_boiler,heat,megajoule,1026388.685466
130,PRT_2,biofuel_boiler,heat,megajoule,368089.98599052
130,PRT_1,biofuel_supply,biofuel,kilogram,3220570462.4196005
130,PRT_2,biofuel_supply,biofuel,kilogram,1836862041.013782
130,PRT_1,biofuel_to_diesel,diesel,kilogram,17446.0722709595
130,PRT_2,biofuel_to_diesel,diesel,kilogram,134825132.94110793
130,PRT_1,biofuel_to_methane,methane,cubic meter,102666412.39560527
130,PRT_2,biofuel_to_methane,methane,cubic meter,115666325.31080282
130,PRT_1,biofuel_to_methanol,methanol,kilogram,121018399.24508992
130,PRT_2,biofuel_to_methanol,methanol,kilogram,766981831.7192029
130,PRT_1,ccgt,electricity,kilowatt hour,182973.8843924
130,PRT_2,ccgt,electricity,kilowatt hour,26872.726838551425
130,PRT_1,chp_biofuel_extraction,electricity,kilowatt hour,676225.7902918999
130,PRT_2,chp_biofuel_extraction,electricity,kilowatt hour,222017.8898938
130,PRT_1,chp_hydrogen,electricity,kilowatt hour,115457.8727399
130,PRT_2,chp_hydrogen,electricity,kilowatt hour,118683.3298076
130,PRT_1,chp_methane_extraction,electricity,kilowatt hour,373559.91843380005
130,PRT_2,chp_methane_extraction,electricity,kilowatt hour,135368.298326
130,PRT_1,chp_wte_back_pressure,electricity,kilowatt hour,228357886.2148091
130,PRT_2,chp_wte_back_pressure,electricity,kilowatt hour,224048754.2475641
130,ESP,el_import,electricity,kilowatt hour,6047162771.84033
130,PRT_1,electrolysis,hydrogen,kg,4373305755.713029
130,PRT_2,electrolysis,hydrogen,kg,2972161990.174653
130,PRT_1,existing_pv,electricity,kilowatt hour,1482160827.9361067
130,PRT_1,existing_wind,electricity,kilowatt hour,15724256092.302517
130,PRT_1,heat_storage_big,heat,unit,3632562.5027011996
130,PRT_2,heat_storage_big,heat,unit,6992137.451543089
130,PRT_1,heat_storage_small,heat,unit,348967355.4933297
