,spores,techs,locs,carriers,unit,flow_out_sum
65,157,methane_boiler,PRT_2,heat,twh,1.123977694373774e-05
66,157,methane_storage,PRT_1,methane,twh,5.618250974873067
67,157,methane_storage,PRT_2,methane,twh,5.742392936517593
68,157,open_field_pv,PRT_1,electricity,twh,97.80647256306762
69,157,pumped_hydro,PRT_1,electricity,twh,7.851442981439954
70,157,pumped_hydro,PRT_2,electricity,twh,1.309136590544151
71,157,roof_mounted_pv,PRT_1,electricity,twh,0.00016921883273135057
72,157,waste_supply,PRT_1,waste,twh,1.0281916506691735
73,157,waste_supply,PRT_2,waste,twh,1.0062773722967344
74,157,wind_offshore,PRT_1,electricity,twh,0.00019799376278315236
75,157,wind_onshore,PRT_1,electricity,twh,56.16764318324018
0,158,battery,PRT_1,electricity,twh,0.0002057731053537
1,158,battery,PRT_2,electricity,twh,0.0002268242977746
2,158,biofuel_boiler,PRT_1,heat,twh,8.981749981366052
3,158,biofuel_boiler,PRT_2,heat,twh,0.0001113499763485
4,158,biofuel_supply,PRT_1,biofuel,twh,20.40460731664932
5,158,biofuel_supply,PRT_2,biofuel,twh,16.11221706926571
6,158,biofuel_to_diesel,PRT_1,diesel,twh,1.0755026044520066
7,158,biofuel_to_diesel,PRT_2,diesel,twh,1.013862657497298
10,158,biofuel_to_methane,PRT_1,methane,twh,4.349472010446987
11,158,biofuel_to_methane,PRT_2,methane,twh,3.477554597500752
12,158,biofuel_to_methanol,PRT_1,methanol,twh,0.7610969158341196
13,158,biofuel_to_methanol,PRT_2,methanol,twh,6.145221135552918
14,158,ccgt,PRT_1,electricity,twh,7.359448450386778e-06
15,158,ccgt,PRT_2,electricity,twh,5.411317365021056e-06
16,158,chp_biofuel_extraction,PRT_1,electricity,twh,0.00012828689554748017
17,158,chp_biofuel_extraction,PRT_2,electricity,twh,0.00011492924341863323
18,158,chp_hydrogen,PRT_1,electricity,twh,4.271101478033049e-05
19,158,chp_hydrogen,PRT_2,electricity,twh,4.4834420737404373e-05
20,158,chp_methane_extraction,PRT_1,electricity,twh,6.059730324254443e-05
21,158,chp_methane_extraction,PRT_2,electricity,twh,5.8145568300648605e-05
22,158,chp_wte_back_pressure,PRT_1,electricity,twh,0.223125345901156
23,158,chp_wte_back_pressure,PRT_2,electricity,twh,0.21837038862309952
26,158,el_import,ESP,electricity,twh,6.454868279506502
31,158,electrolysis,PRT_1,hydrogen,twh,0.0005031639549935
32,158,electrolysis,PRT_2,hydrogen,twh,29.25401142600681
33,158,existing_pv,PRT_1,electricity,twh,1.7728132889550834
34,158,existing_wind,PRT_1,electricity,twh,16.283060834394774
38,158,heat_storage_big,PRT_1,heat,twh,0.0014041760669206
39,158,heat_storage_big,PRT_2,heat,twh,0.0018120695212726
40,158,heat_storage_small,PRT_1,heat,twh,0.0132154456531308
41,158,heat_storage_small,PRT_2,heat,twh,0.0115964533037355
48,158,hydro_reservoir,PRT_1,electricity,twh,2.1576989291474966
49,158,hydro_reservoir,PRT_2,electricity,twh,0.3939784572067796
50,158,hydro_run_of_river,PRT_1,electricity,twh,2.519461189356625
51,158,hydro_run_of_river,PRT_2,electricity,twh,0.3768857777047366
64,158,methane_boiler,PRT_1,heat,twh,4.1918754207291775e-05
65,158,methane_boiler,PRT_2,heat,twh,2.3850110660967427e-05
66,158,methane_storage,PRT_1,methane,twh,5.6930246407181055
67,158,methane_storage,PRT_2,methane,twh,5.7462032806121
68,158,open_field_pv,PRT_1,electricity,twh,97.80640696983099
69,158,pumped_hydro,PRT_1,electricity,twh,7.851622421331992
70,158,pumped_hydro,PRT_2,electricity,twh,1.3090000869594534
71,158,roof_mounted_pv,PRT_1,electricity,twh,0.00035710088149474656
72,158,waste_supply,PRT_1,waste,twh,1.0282052258490604
73,158,waste_supply,PRT_2,waste,twh,1.0062909474801902
74,158,wind_offshore,PRT_1,electricity,twh,0.0004157349243408072
75,158,wind_onshore,PRT_1,electricity,twh,56.16801129848446
0,159,battery,PRT_1,electricity,twh,0.0001067671533299
1,159,battery,PRT_2,electricity,twh,0.0001168371898899
2,159,biofuel_boiler,PRT_1,heat,twh,8.983014174042752
3,159,biofuel_boiler,PRT_2,heat,twh,5.086679464168494e-05
4,159,biofuel_supply,PRT_1,biofuel,twh,20.406152615707995
5,159,biofuel_supply,PRT_2,biofuel,twh,16.112004447850587
6,159,biofuel_to_diesel,PRT_1,diesel,twh,1.0755770811528744
7,159,biofuel_to_diesel,PRT_2,diesel,twh,1.013929231789943
10,159,biofuel_to_methane,PRT_1,methane,twh,4.3495258339196265
11,159,biofuel_to_methane,PRT_2,methane,twh,3.4774594295925256
12,159,biofuel_to_methanol,PRT_1,methanol,twh,0.7610792942655279
13,159,biofuel_to_methanol,PRT_2,methanol,twh,6.14520814423603
14,159,ccgt,PRT_1,electricity,twh,4.056838457436889e-06
15,159,ccgt,PRT_2,electricity,twh,2.9429321376688124e-06
16,159,chp_biofuel_extraction,PRT_1,electricity,twh,6.463654400987839e-05
17,159,chp_biofuel_extraction,PRT_2,electricity,twh,5.7190149375904976e-05
18,159,chp_hydrogen,PRT_1,electricity,twh,2.222581037133565e-05
19,159,chp_hydrogen,PRT_2,electricity,twh,2.351159751720762e-05
20,159,chp_methane_extraction,PRT_1,electricity,twh,3.029308131217706e-05
21,159,chp_methane_extraction,PRT_2,electricity,twh,2.887448640151442e-05
22,159,chp_wte_back_pressure,PRT_1,electricity,twh,0.2231208383270958
23,159,chp_wte_back_pressure,PRT_2,electricity,twh,0.2183651239867836
26,159,el_import,ESP,electricity,twh,6.454991515961316
31,159,electrolysis,PRT_1,hydrogen,twh,0.0002512864641987
32,159,electrolysis,PRT_2,hydrogen,twh,29.25448875827936
33,159,existing_pv,PRT_1,electricity,twh,1.7728237012082757
34,159,existing_wind,PRT_1,electricity,twh,16.28241238777465
38,159,heat_storage_big,PRT_1,heat,twh,0.0006967868271265
39,159,heat_storage_big,PRT_2,heat,twh,0.0009154107291951
40,159,heat_storage_small,PRT_1,heat,twh,0.0065837862247919
41,159,heat_storage_small,PRT_2,heat,twh,0.0061035992238235
48,159,hydro_reservoir,PRT_1,electricity,twh,2.157551639004492
49,159,hydro_reservoir,PRT_2,electricity,twh,0.393963020591955
50,159,hydro_run_of_river,PRT_1,electricity,twh,2.519325630277001
51,159,hydro_run_of_river,PRT_2,electricity,twh,0.3767764746569253
64,159,methane_boiler,PRT_1,heat,twh,2.1789283682267172e-05
65,159,methane_boiler,PRT_2,heat,twh,1.2388561376385496e-05
66,159,methane_storage,PRT_1,methane,twh,5.6300995530968905
67,159,methane_storage,PRT_2,methane,twh,5.742427699263747
68,159,open_field_pv,PRT_1,electricity,twh,97.80643954635885
69,159,pumped_hydro,PRT_1,electricity,twh,7.851531267429824
70,159,pumped_hydro,PRT_2,electricity,twh,1.3090476665030988
71,159,roof_mounted_pv,PRT_1,electricity,twh,0.00018274910222615116
72,159,waste_supply,PRT_1,waste,twh,1.028192254958961
73,159,waste_supply,PRT_2,waste,twh,1.0062779765974978
74,159,wind_offshore,PRT_1,electricity,twh,0.00021002067741205554
75,159,wind_onshore,PRT_1,electricity,twh,56.1681020086339
0,160,battery,PRT_1,electricity,twh,0.0001762096707743
1,160,battery,PRT_2,electricity,twh,0.000194633692351
2,160,biofuel_boiler,PRT_1,heat,twh,8.982154117010726
3,160,biofuel_boiler,PRT_2,heat,twh,9.435393831386958e-05
4,160,biofuel_supply,PRT_1,biofuel,twh,20.405101883113403
5,160,biofuel_supply,PRT_2,biofuel,twh,16.11214371296478
