spores,techs,locs,carriers,unit,flow_out_sum
112,existing_pv,PRT-10_1,electricity,twh,0.22700271737524916
112,existing_pv,PRT-12_1,electricity,twh,0.10341080363715557
112,existing_pv,PRT-15_1,electricity,twh,0.23441492593483138
112,existing_pv,PRT-3_1,electricity,twh,0.630257646973409
112,existing_pv,PRT-9_1,electricity,twh,0.11107748877946902
112,existing_wind,PRT-10_1,electricity,twh,0.30106009782980103
112,existing_wind,PRT-11_1,electricity,twh,1.4493107458440058
112,existing_wind,PRT-12_1,electricity,twh,0.2953574653566684
112,existing_wind,PRT-15_1,electricity,twh,0.2802528153590851
112,existing_wind,PRT-16_1,electricity,twh,0.04633052793769738
112,existing_wind,PRT-17_1,electricity,twh,0.2515507847654064
112,existing_wind,PRT-18_1,electricity,twh,2.438312022714307
112,existing_wind,PRT-19_1,electricity,twh,2.0051542398088857
112,existing_wind,PRT-1_1,electricity,twh,9.588682323661246e-06
112,existing_wind,PRT-20_1,electricity,twh,2.3354977134180417
112,existing_wind,PRT-3_1,electricity,twh,0.42195101457032
112,existing_wind,PRT-4_1,electricity,twh,0.9793072848003774
112,existing_wind,PRT-5_1,electricity,twh,0.45430561996503843
112,existing_wind,PRT-6_1,electricity,twh,1.9683346582165595
112,existing_wind,PRT-7_1,electricity,twh,1.4095133056007363
112,existing_wind,PRT-9_1,electricity,twh,0.7932780267714603
112,gas_hob,PRT_1,cooking,twh,0.03500064462223743
112,gas_hob,PRT_1,methane,twh,
112,gas_hob,PRT_2,cooking,twh,0.036627805345375464
112,gas_hob,PRT_2,methane,twh,
112,h2_export,ESP-sink,hydrogen,twh,
112,h2_import,ESP-sink,electricity,twh,0.16167511334667284
112,heat_storage_big,PRT_1,heat,twh,2.9666317854631408
112,heat_storage_big,PRT_2,heat,twh,5.906243215250699
112,heat_storage_small,PRT_1,heat,twh,24.11798860920051
112,heat_storage_small,PRT_2,heat,twh,26.537410497695802
112,heavy_transport_ev,PRT_1,electricity,twh,
112,heavy_transport_ev,PRT_1,transport,billion_km,0.9031965617152868
112,heavy_transport_ev,PRT_2,electricity,twh,
112,heavy_transport_ev,PRT_2,transport,billion_km,1.1205725011068037
112,heavy_transport_ice,PRT_1,diesel,twh,
112,heavy_transport_ice,PRT_1,transport,billion_km,0.00957357083946396
112,heavy_transport_ice,PRT_2,diesel,twh,
112,heavy_transport_ice,PRT_2,transport,billion_km,0.011188100761292489
112,hp,PRT_1,electricity,twh,
112,hp,PRT_1,heat,twh,7.481277904121551
112,hp,PRT_2,electricity,twh,
112,hp,PRT_2,heat,twh,8.62598292516151
112,hydro_reservoir,PRT_1,electricity,twh,2.078934749212501
112,hydro_reservoir,PRT_2,electricity,twh,0.37257944592073167
112,hydro_run_of_river,PRT_1,electricity,twh,2.2703222389289843
112,hydro_run_of_river,PRT_2,electricity,twh,0.307407470257071
112,hydrogen_storage,PRT_1,hydrogen,twh,0.06548337251086314
112,hydrogen_storage,PRT_2,hydrogen,twh,0.06547907102662748
112,hydrogen_to_liquids,PRT_1,co2,100kt,
112,hydrogen_to_liquids,PRT_1,diesel,twh,3.5706158880090118
112,hydrogen_to_liquids,PRT_1,electricity,twh,
112,hydrogen_to_liquids,PRT_1,hydrogen,twh,
112,hydrogen_to_liquids,PRT_1,kerosene,twh,5.3559238320135165
112,hydrogen_to_liquids,PRT_2,co2,100kt,
112,hydrogen_to_liquids,PRT_2,diesel,twh,4.617404654809119
112,hydrogen_to_liquids,PRT_2,electricity,twh,
112,hydrogen_to_liquids,PRT_2,hydrogen,twh,
112,hydrogen_to_liquids,PRT_2,kerosene,twh,6.9261069822136765
112,hydrogen_to_methane,PRT_1,co2,100kt,
112,hydrogen_to_methane,PRT_1,hydrogen,twh,
112,hydrogen_to_methane,PRT_1,methane,twh,1.5967531662017107
112,hydrogen_to_methane,PRT_2,co2,100kt,
112,hydrogen_to_methane,PRT_2,hydrogen,twh,
112,hydrogen_to_methane,PRT_2,methane,twh,3.5732895759776384
112,hydrogen_to_methanol,PRT_1,co2,100kt,
112,hydrogen_to_methanol,PRT_1,hydrogen,twh,
112,hydrogen_to_methanol,PRT_1,methanol,twh,0.1411762489004148
112,hydrogen_to_methanol,PRT_2,co2,100kt,
112,hydrogen_to_methanol,PRT_2,hydrogen,twh,
112,hydrogen_to_methanol,PRT_2,methanol,twh,0.14039917333936122
112,light_transport_ev,PRT_1,electricity,twh,
112,light_transport_ev,PRT_1,transport,billion_km,33.9183576186944
112,light_transport_ev,PRT_2,electricity,twh,
112,light_transport_ev,PRT_2,transport,billion_km,35.95684306816513
112,light_transport_ice,PRT_1,diesel,twh,
112,light_transport_ice,PRT_1,transport,billion_km,0.07295021330958232
112,light_transport_ice,PRT_2,diesel,twh,
112,light_transport_ice,PRT_2,transport,billion_km,0.08292026783841783
112,methane_boiler,PRT_1,heat,twh,0.19990637354751511
112,methane_boiler,PRT_1,methane,twh,
112,methane_boiler,PRT_2,heat,twh,0.30798152747897495
112,methane_boiler,PRT_2,methane,twh,
112,methane_storage,PRT_1,methane,twh,5.62717009715662
112,methane_storage,PRT_2,methane,twh,5.7338306781398405
112,open_field_pv,PRT-10_1,electricity,twh,0.00010576069548570804
112,open_field_pv,PRT-11_1,electricity,twh,16.59908387839841
112,open_field_pv,PRT-12_1,electricity,twh,0.01592359086134642
112,open_field_pv,PRT-14_1,electricity,twh,0.799585109327109
112,open_field_pv,PRT-15_1,electricity,twh,0.0003665213159219166
112,open_field_pv,PRT-16_1,electricity,twh,0.6934185563709685
112,open_field_pv,PRT-17_1,electricity,twh,0.9404299159855942
112,open_field_pv,PRT-18_1,electricity,twh,0.00271178690384762
112,open_field_pv,PRT-19_1,electricity,twh,0.9751707358600215
112,open_field_pv,PRT-20_1,electricity,twh,0.013453134006344816
112,open_field_pv,PRT-3_1,electricity,twh,0.0003216042013408925
112,open_field_pv,PRT-4_1,electricity,twh,0.0012342511964428906
112,open_field_pv,PRT-5_1,electricity,twh,1.5054213358244277
112,open_field_pv,PRT-6_1,electricity,twh,23.336832397131786
112,open_field_pv,PRT-7_1,electricity,twh,0.0023304792662373524
112,open_field_pv,PRT-8_1,electricity,twh,0.9655659822513665
112,open_field_pv,PRT-9_1,electricity,twh,24.652164414383194
112,pumped_hydro,PRT_1,electricity,twh,6.728342801851248
112,pumped_hydro,PRT_2,electricity,twh,1.1493124276830087
112,roof_mounted_pv,PRT-10_1,electricity,twh,0.07537789317269541
112,roof_mounted_pv,PRT-11_1,electricity,twh,0.07848113914147482
112,roof_mounted_pv,PRT-12_1,electricity,twh,0.07365884606556364
112,roof_mounted_pv,PRT-14_1,electricity,twh,0.01202894778824351
112,roof_mounted_pv,PRT-15_1,electricity,twh,0.07881750949443644
112,roof_mounted_pv,PRT-16_1,electricity,twh,0.07115011553535827
112,roof_mounted_pv,PRT-17_1,electricity,twh,0.07387063410603414
112,roof_mounted_pv,PRT-18_1,electricity,twh,0.06859047601528868
112,roof_mounted_pv,PRT-19_1,electricity,twh,0.07143557461821246
112,roof_mounted_pv,PRT-1_1,electricity,twh,1.0826389515136607e-07
112,roof_mounted_pv,PRT-20_1,electricity,twh,0.07297985395319032
112,roof_mounted_pv,PRT-3_1,electricity,twh,0.07388150189031875
112,roof_mounted_pv,PRT-4_1,electricity,twh,0.07021710730345884
112,roof_mounted_pv,PRT-5_1,electricity,twh,0.07389145092618601
112,roof_mounted_pv,PRT-6_1,electricity,twh,0.07067518935616911
112,roof_mounted_pv,PRT-7_1,electricity,twh,0.07427137201958506
112,roof_mounted_pv,PRT-8_1,electricity,twh,0.07337363681482902
112,roof_mounted_pv,PRT-9_1,electricity,twh,0.08016133600983377
112,waste_supply,PRT_1,waste,twh,1.0281995582734833
112,waste_supply,PRT_2,waste,twh,1.006285279901463
112,wind_offshore,PRT-11_1,electricity,twh,1.023649925093265e-05
112,wind_offshore,PRT-12_1,electricity,twh,1.0165977403084588e-05
